stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3390CI25,,"Mill Street",,52.984011198,-1.1873013117,,,,,,
3390CI40,,"Broxtowe Lane",,52.9811960945,-1.1950246988,,,,,,
3390CK01,,"Racecourse Road",,52.9503264311,-1.115344579,,,,,,
3390CK02,,"Greyhound Stadium",,52.9506463756,-1.108833785,,,,,,
3390CK03,,"Candle Meadow",,52.9545626921,-1.0976935502,,,,,,
3390CK12,,"Candle Meadow",,52.954723293,-1.0963505291,,,,,,
3390CK13,,"Greyhound Stadium",,52.9504865965,-1.1091049776,,,,,,
3390CK14,,"Racecourse Road",,52.9502473091,-1.1155843332,,,,,,
3390CK23,,"Rectory Road",,52.9547833588,-1.0924344308,,,,,,
3390CK27,,"Racecourse Park and Ride",,52.9495310414,-1.1147654624,,,,,,
3390CK28,,"Racecourse Park and Ride",,52.9499280806,-1.1137601532,,,,,,
3390CL01,,"Clifton Lane, Fabis Drive",,52.9160510317,-1.175605414,,,,,,
3390CL02,,"Orford Avenue",,52.9142367335,-1.1745393756,,,,,,
3390CL03,,"Farnborough Rd Co-op",,52.9126259311,-1.1717147976,,,,,,
3390CL04,,"Dovenby Road",,52.9099836643,-1.1718097962,,,,,,
3390CL05,,Rivergreen,,52.906535148,-1.1748938949,,,,,,
3390CL06,,"Sthchurch Dr, Clifton Library",,52.9031172545,-1.1772186759,,,,,,
3390CL08,,"Southchurch Dr, Peacock",,52.9014630419,-1.1784988287,,,,,,
3390CL09,,"Dungannon Road",,52.8992179398,-1.1801319601,,,,,,
3390CL10,,"Southchurch Dr, Holy Trinity",,52.897638545,-1.1805334015,,,,,,
3390CL100,,"The Fairham",,52.9003084135,-1.1701656386,,,,,,
3390CL101,,"Dungannon Road",,52.9011451142,-1.1728405624,,,,,,
3390CL102,,"Wheatacre Road",,52.9015703516,-1.1758207371,,,,,,
3390CL103,,"Green Lane, Peacock",,52.9018919516,-1.176825601,,,,,,
3390CL104,,"Green Lane, Peacock",,52.9018676631,-1.1772126062,,,,,,
3390CL105,,"Scafell Way",,52.8939705715,-1.1857307866,,,,,,
3390CL106,,"Summerwood La, Manesty Cres",,52.8928921794,-1.1818566131,,,,,,
3390CL106a,,"Summerwood La, Manesty Cres",,52.892972768,-1.1818105038,,,,,,
3390CL107,,"Swansdowne Drive",,52.9050228178,-1.1758890523,,,,,,
3390CL11,,"Highbank Drive",,52.8967282983,-1.1828101004,,,,,,
3390CL113,,"Lark Hill Village",,52.8978796232,-1.1921092681,,,,,,
3390CL12,,"Pastures Avenue",,52.8967675981,-1.1859162223,,,,,,
3390CL13,,"Bransdale Road",,52.8971277986,-1.1899528856,,,,,,
3390CL15,,"Todd Close",,52.8997643539,-1.1943041821,,,,,,
3390CL16,,"Krebs Close",,52.9014631664,-1.1942726798,,,,,,
3390CL17,,"Nobel Rd, Fleming Gdns",,52.9028337594,-1.1922401585,,,,,,
3390CL18,,"The Crusader",,52.9049309823,-1.1913090747,,,,,,
3390CL19,,"Myrtus Close",,52.9054983629,-1.1941086295,,,,,,
3390CL20,,"Lilac Court",,52.9043337686,-1.19603333,,,,,,
3390CL21,,"Clifton, Hartness Rd",,52.9033037191,-1.1965876247,,,,,,
3390CL22,,"Lilac Court",,52.9046661392,-1.1959974429,,,,,,
3390CL23,,"Myrtus Close",,52.9055987475,-1.1943297929,,,,,,
3390CL24,,"The Crusader",,52.9052407346,-1.191912907,,,,,,
3390CL25,,"Nobel Rd, Fleming Gdns",,52.9027606394,-1.1920631091,,,,,,
3390CL26,,"Krebs Close",,52.9015964807,-1.1940472025,,,,,,
3390CL27,,"Todd Close",,52.8999720955,-1.1944489945,,,,,,
3390CL28,,"Harden Court",,52.8996781164,-1.1921947594,,,,,,
3390CL29,,"Bransdale Road",,52.8972256579,-1.1898024063,,,,,,
3390CL30,,"Pastures Avenue",,52.8968598478,-1.1849482435,,,,,,
3390CL31,,"Southchurch Dr, Holy Trinity",,52.8976942177,-1.1807850682,,,,,,
